timestamp,temperature,humidity,pressure,pm1.0,pm2.5,pm10
2025-09-05 23:45:15,47.34799616550024,970.2332105463474,25.18699060252402,12,23,25
2025-09-05 23:46:16,48.14632099012488,970.2332105463474,25.18699060252402,12,23,26
2025-09-05 23:47:16,48.210843622916336,970.2640984992557,25.15176598695689,12,24,26
2025-09-05 23:48:16,48.08632101905687,970.1960646158518,25.12660555599723,12,24,26
2025-09-05 23:49:16,48.30528806239166,970.2770172636224,25.14170181369991,13,24,26
2025-09-05 23:50:16,47.56036776543448,970.2848912098939,25.14673390018288,13,24,26
2025-09-05 23:51:16,47.2645626300652,970.2978093424077,25.13666972750798,14,25,27
2025-09-05 23:52:16,47.589733009829146,970.2899352146716,25.131637641607085,13,25,27
2025-09-05 23:53:16,47.465556505130486,970.318600998587,25.131637641607085,13,25,27
2025-09-05 23:54:16,47.548274731202866,970.1960646158518,25.12660555599723,13,25,26
2025-09-05 23:55:16,47.61325046243046,970.3315176859599,25.121573470678413,13,25,26
2025-09-05 23:56:16,47.447489106231956,970.3078942140544,25.106477216468193,13,24,26
2025-09-05 23:57:16,47.30544688689603,970.2348170983839,25.096413048449904,13,24,26
2025-09-05 23:58:16,47.222662656604385,970.2061529971745,25.096413048449904,13,24,26
2025-09-05 23:59:16,47.24625220094038,970.1982793287164,25.091380964877317,13,24,26
2025-09-06 00:00:16,47.20479723939225,970.1904056880505,25.086348881595768,11,23,25
2025-09-06 00:01:16,47.328970685712974,970.1617420844923,25.086348881595768,11,23,25
2025-09-06 00:02:16,47.517913079571095,970.1875740825309,25.066220551379956,11,23,25
2025-09-06 00:03:16,47.31091154255468,970.1797003438539,25.0611884695536,11,23,24
2025-09-06 00:04:16,47.46463597653555,970.2083628096689,25.0611884695536,11,23,24
2025-09-06 00:05:16,47.446833265329005,970.171826632982,25.05615638801828,10,23,24
2025-09-06 00:06:16,47.36412463305594,970.2083628096689,25.0611884695536,11,23,25
2025-09-06 00:07:16,47.35223500582605,970.2004888617946,25.05615638801828,11,23,24
2025-09-06 00:08:16,47.20441995689789,970.171826632982,25.05615638801828,11,23,24
2025-09-06 00:09:16,47.251594563713624,970.1847410494709,25.046092225820757,10,22,23
2025-09-06 00:10:17,47.15114264754757,970.2499389962591,25.051124306774,10,22,23
2025-09-06 00:11:17,47.04465023192557,970.2420646299989,25.046092225820757,11,23,24
2025-09-06 00:12:17,46.93809691044334,970.1976546528385,25.036028064787388,10,23,24
2025-09-06 00:13:17,47.03276345061289,970.2341902915514,25.041060145158553,10,23,24
2025-09-06 00:14:17,46.79630041191108,970.2420646299989,25.046092225820757,10,23,24
2025-09-06 00:15:17,46.997225668261876,970.1976546528385,25.036028064787388,10,23,24
2025-09-06 00:16:17,46.86708187383026,970.2471028128186,25.03099598470726,10,23,24
2025-09-06 00:17:17,46.51803211717869,970.2521398476486,25.01589974621311,10,23,24
2025-09-06 00:18:17,46.63624126274069,970.2156050117702,25.010867667297134,11,23,24
2025-09-06 00:19:17,46.57705359346639,970.2363905844292,25.0058355886722,11,23,24
2025-09-06 00:20:17,46.15127977248595,970.3223705862983,25.0058355886722,11,23,24
2025-09-06 00:21:17,46.18084912044046,970.2937105620424,25.0058355886722,11,23,24
2025-09-06 00:22:17,45.79647474333166,970.3589061998758,25.010867667297134,11,24,25
2025-09-06 00:23:17,45.926592982086625,970.3015856537338,25.010867667297134,12,24,25
2025-09-06 00:24:17,45.76690172258846,970.3015856537338,25.010867667297134,12,24,26
2025-09-06 00:25:17,45.63673198713335,970.3796907057092,25.0058355886722,12,25,26
2025-09-06 00:26:17,45.82590491518412,970.3639391838359,24.99577143229544,12,24,26
2025-09-06 00:27:17,46.31079221598599,970.3847228488144,24.99073935454362,12,25,26
2025-09-06 00:28:17,46.13934983995618,970.4212584497832,24.99577143229544,13,26,27
2025-09-06 00:29:17,45.63650487172258,970.426288911204,24.980675199913094,14,27,29
2025-09-06 00:30:17,45.6245852841125,970.3532193025171,24.97061104644672,15,28,30
2025-09-06 00:31:17,45.46493777683875,970.4470713086216,24.975643123034388,15,29,30
2025-09-06 00:32:17,45.8435045667406,970.4836068969547,24.980675199913094,16,29,31
2025-09-06 00:33:17,46.25170985889948,970.478577810259,24.99577143229544,16,30,32
2025-09-06 00:34:17,45.867256938925664,970.5280201240907,24.99073935454362,16,30,32
2025-09-06 00:35:17,45.920435598190416,970.4628245037522,24.985707277082838,16,30,33
2025-09-06 00:36:17,45.87307492409917,970.4836068969547,24.980675199913094,16,30,33
2025-09-06 00:37:17,45.707523856118314,970.4914837454406,24.985707277082838,15,29,32
2025-09-06 00:38:17,45.55966064371736,970.4914837454406,24.985707277082838,15,29,32
2025-09-06 00:39:17,45.630635787250185,970.4341652856949,24.985707277082838,14,28,32
2025-09-06 00:40:17,46.298806680547635,970.4184125645587,24.975643123034388,14,28,32
2025-09-06 00:41:17,45.77840182533007,970.3897538441264,24.975643123034388,14,28,32
2025-09-06 00:42:17,46.26332705927557,970.3897538441264,24.975643123034388,14,28,32
2025-09-06 00:43:17,46.08602441190442,970.4055060912691,24.985707277082838,14,28,32
2025-09-06 00:44:17,45.589188888170774,970.5409249772293,24.980675199913094,14,28,32
