timestamp,temperature,pressure,humidity,pm1.0,pm2.5,pm10
2025-09-08 22:12:33,24.71397552639246,967.2016462245474,58.666285715659306,3,7,8
2025-09-08 22:13:40,24.703911403776146,967.2145865907386,58.77777347336616,3,7,7
2025-09-08 22:14:40,24.724039650172926,967.1600605119172,58.90219783238893,4,8,8
2025-09-08 22:15:40,24.724039650172926,967.131416001633,58.85509367036167,4,8,8
2025-09-08 22:16:40,24.724039650172926,967.1887050458129,58.7608833754962,4,8,8
2025-09-08 22:17:40,24.724039650172926,967.131416001633,58.89630984806176,4,8,8
2025-09-08 22:18:40,24.734103775117546,967.0325383699575,58.84959439165549,4,8,8
2025-09-08 22:19:40,24.729071712499717,967.0819775984828,58.81995918680673,4,8,8
2025-09-08 22:20:40,24.71397552639246,967.0584260423736,58.99012436819147,4,8,8
2025-09-08 22:21:40,24.719007588137174,967.0949207593327,58.837235162719075,4,8,8
2025-09-08 22:22:40,24.734103775117546,967.0611832596438,58.84959439165549,4,8,8
2025-09-08 22:23:40,24.734103775117546,967.0325383699575,58.814264985419754,3,7,7
2025-09-08 22:24:40,24.729071712499717,966.9101098944208,58.77285334712033,3,7,7
2025-09-08 22:25:40,24.734103775117546,967.0325383699575,58.6611666214487,3,7,7
2025-09-08 22:26:40,24.74416790122632,966.9336574367773,58.70866012730921,4,8,8
2025-09-08 22:27:40,24.734103775117546,967.0611832596438,58.57872616662005,4,8,8
2025-09-08 22:28:40,24.74416790122632,966.9336574367773,58.52610915420373,4,8,8
2025-09-08 22:29:40,24.724039650172926,966.9022607693792,58.51356884914225,4,8,8
2025-09-08 22:30:40,24.734103775117546,966.8893142757111,58.366727187039345,4,8,8
2025-09-08 22:31:40,24.749199964717263,966.8555702969493,58.34962627566112,3,7,7
2025-09-08 22:32:40,24.749199964717263,966.8555702969493,58.302511753785865,3,7,7
2025-09-08 22:34:02,24.749199964717263,966.8842157321195,58.17294343091589,3,7,7
2025-09-08 22:35:02,24.764296156936325,966.9077621873157,58.17350366565894,3,7,7
2025-09-08 22:36:02,24.759264092572266,966.8426215466301,58.24399276239764,3,8,8
2025-09-08 22:37:02,24.749199964717263,966.8842157321195,58.13760575326077,3,8,8
2025-09-08 22:38:02,24.739135838026414,966.8685182346385,58.284467587758016,4,9,9
2025-09-08 22:39:02,24.739135838026414,966.8685182346385,58.39047251566998,4,9,9
2025-09-08 22:40:02,24.74416790122632,966.7904314455476,58.37888344160981,4,9,9
2025-09-08 22:41:02,24.739135838026414,966.8685182346385,58.35513790925136,4,9,9
2025-09-08 22:42:02,24.74416790122632,966.8763669694459,58.284655618444155,4,9,9
2025-09-08 22:43:02,24.734103775117546,966.8893142757111,58.331392730372905,4,9,9
2025-09-08 22:44:03,24.739135838026414,966.8112283356062,58.36691615245224,4,9,9
2025-09-08 22:45:03,24.734103775117546,966.8320248032992,58.34317092365547,4,9,9
2025-09-08 22:46:03,24.693847282323986,966.826523728319,58.47709506169695,4,9,9
2025-09-08 22:47:03,24.703911403776146,966.8995079216921,58.37737045333936,3,8,8
2025-09-08 22:48:03,24.678751102328533,966.8029777331193,58.311652591343,3,7,7
2025-09-08 22:49:03,24.708943464938784,966.8787135615137,58.336338499082544,3,7,7
2025-09-08 22:50:03,24.673719042912126,966.7951291238347,58.564653461560624,3,7,7
2025-09-08 22:51:03,24.68378316203598,966.8108263702958,58.45904980742295,3,7,7
2025-09-08 22:52:03,24.663654924952425,966.836714922086,58.59959720815164,4,8,8
2025-09-08 22:53:03,24.673719042912126,966.7664872188492,58.429228951364415,4,8,8
2025-09-08 22:54:06,24.68378316203598,966.7821839914791,58.38839041747985,4,8,8
2025-09-08 22:55:06,24.703911403776146,966.8135778714008,58.46569872876033,3,7,7
2025-09-08 22:56:06,24.688815222034464,966.8473176747052,58.42391002710597,3,7,7
2025-09-08 22:57:06,24.734103775117546,966.8893142757111,58.28427954663856,3,7,7
2025-09-08 22:58:06,24.71397552639246,966.8579187789868,58.5131875444648,4,8,8
2025-09-08 22:59:06,24.724039650172926,966.8736164715997,58.478236724412035,4,8,8
2025-09-08 23:00:06,24.724039650172926,966.8736164715997,58.49590283296803,4,8,8
2025-09-08 23:01:06,24.719007588137174,966.8371235741083,58.460380470482924,4,8,8
2025-09-08 23:02:06,24.719007588137174,966.8371235741083,58.60170590698788,4,8,8
2025-09-08 23:03:06,24.708943464938784,966.7927828712952,58.51299687647697,4,8,8
2025-09-08 23:04:06,24.708943464938784,966.8214264110908,58.565992588372666,3,7,7
2025-09-08 23:05:06,24.71397552639246,966.8006312019455,58.642732602483974,3,7,7
2025-09-08 23:06:06,24.71397552639246,966.8292749786607,58.64862089617407,3,7,7
2025-09-08 23:07:06,24.703911403776146,966.8708645479849,58.64234835159446,3,7,7
2025-09-08 23:08:06,24.719007588137174,966.8084795604731,58.56637510213974,3,7,7
2025-09-08 23:09:06,24.703911403776146,966.8135778714008,58.76010963495957,3,7,7
2025-09-08 23:10:06,24.703911403776146,966.8135778714008,58.80132511421626,4,8,8
2025-09-08 23:11:06,24.708943464938784,966.850069974497,58.595434291298815,4,8,8
2025-09-08 23:12:06,24.708943464938784,966.850069974497,58.518885329965606,3,7,7
