timestamp,temperature,pressure,humidity,pm1.0,pm2.5,pm10
2025-09-08 19:32:02,24.412052354309708,967.1027872494806,56.61814375141443,4,5,5
2025-09-08 19:33:05,24.42714848803007,967.1549774786788,56.5008912686719,4,5,5
2025-09-08 19:34:05,24.447276670398423,967.0718639537891,56.460346551929554,5,6,6
2025-09-08 19:35:05,24.43721257863217,967.0847902237506,56.377570619268965,5,6,6
2025-09-08 19:36:05,24.43721257863217,967.0561589104706,56.76619554121151,5,7,7
2025-09-08 19:37:05,24.43721257863217,967.0847902237506,56.43645605360866,5,7,7
2025-09-08 19:38:05,24.43721257863217,967.0561589104706,56.58366515444383,5,7,7
2025-09-08 19:39:05,24.43721257863217,967.0847902237506,56.6013298159827,5,7,7
2025-09-08 19:40:05,24.452308716718107,967.0510845170766,56.672499578875424,5,7,7
2025-09-08 19:41:05,24.42714848803007,967.0690848186555,57.13087504023338,5,7,7
2025-09-08 19:42:05,24.42714848803007,967.1263465684152,56.98369307751579,4,7,7
2025-09-08 19:43:05,24.422116443165578,967.0612321581169,56.636147918500484,4,7,7
2025-09-08 19:44:05,24.43721257863217,967.1420529210806,56.56600040064181,4,7,7
2025-09-08 19:45:05,24.45734076332883,967.1734659624426,56.69622354159793,4,7,7
2025-09-08 19:46:05,24.447276670398423,967.1291275515134,56.52512034861148,4,6,7
2025-09-08 19:47:05,24.45734076332883,967.1162013699558,56.61378626060411,4,6,7
2025-09-08 19:48:05,24.46740485742339,967.1891726511075,56.5964604358041,4,6,7
2025-09-08 19:49:05,24.46740485742339,967.1891726511075,57.09695540999902,4,6,7
2025-09-08 19:50:05,24.46237281023059,967.0954217287467,56.75527765709005,4,6,7
2025-09-08 19:51:05,24.477468952682102,967.1762461961113,56.87355960970574,3,5,5
